,0,1,2,3
0,vodka,vanilla extract,vermouth,sugar
1,vodka,whiskey,coca-cola,sugar
2,vodka,club soda,apple,brandy
3,vodka,campari,cloves,vanilla extract
4,vodka,carbonated water,vanilla extract,gin
5,vodka,grenadine,campari,vanilla extract
6,vodka,sugar,orange juice,ice
7,vodka,gin,peach schnapps,cloves
8,vodka,ice,cherry,sugar
9,vodka,mint,red wine,sugar
10,vodka,vanilla extract,rum,sugar
11,vodka,brandy,vermouth,ice
12,vodka,red wine,pineapple juice,peach schnapps
13,vodka,ice,gin,cloves
14,vodka,tequila,vanilla extract,campari
15,vodka,rum,ice,gin
16,vodka,vanilla extract,brandy,pineapple juice
17,vodka,gin,rum,brandy
18,vodka,sugar,orange juice,grenadine
19,vodka,angostura bitters,bourbon,orange juice
20,vodka,vanilla extract,food coloring,tomato juice
21,vodka,gin,red wine,pineapple juice
22,vodka,vanilla extract,rum,cranberry juice
23,vodka,grenadine,vanilla extract,powdered sugar
24,vodka,ice,water,sugar
25,vodka,cranberry juice,rum,red wine
26,vodka,gin,sugar,milk
27,vodka,rum,pineapple juice,sugar
28,vodka,sugar,orange juice,gin
29,vodka,peach schnapps,red wine,rum
30,vodka,pineapple juice,cranberry juice,rum
31,vodka,ice,brandy,sugar
32,vodka,sugar,vanilla extract,gin
33,vodka,rum,ice,gin
34,vodka,sugar,cranberry juice,gin
35,vodka,benedictine,rum,orange juice
36,vodka,pineapple juice,food coloring,sugar
37,vodka,tequila,brandy,gin
38,vodka,food coloring,orange juice,sugar
39,vodka,sugar,water,ice
40,vodka,sugar,rum,lemon/lime
41,vodka,rum,food coloring,cloves
42,vodka,rum,sugar,food coloring
43,vodka,rum,gin,orange juice
44,vodka,peach schnapps,soda water,lemon/lime
45,vodka,cloves,orange juice,ice
46,vodka,lemon peel,rum,sugar
47,vodka,campari,vanilla extract,rum
48,vodka,orange juice,triple sec,sweet and sour
49,vodka,cloves,brandy,water
50,vodka,gin,lemon peel,creme de cassis
51,vodka,ice,orange juice,grenadine
52,vodka,cranberry juice,rum,sugar
53,vodka,sugar,ice,pineapple juice
54,vodka,cranberry juice,pineapple juice,brandy
55,vodka,ginger,creme de cassis,triple sec
