,0,1,2,3
0,vodka,red wine,brandy,food coloring
1,vodka,gin,orange juice,grenadine
2,vodka,food coloring,grenadine,brandy
3,vodka,blue curacao,pineapple juice,amaretto
4,vodka,vanilla extract,rum,grenadine
5,vodka,vanilla extract,tequila,rum
6,vodka,cloves,cherry,red wine
7,vodka,orange juice,cranberry juice,whiskey
8,vodka,brandy,rum,peach schnapps
9,vodka,cherry,cranberry juice,rum
10,vodka,brandy,rum,vanilla extract
11,vodka,cloves,vanilla extract,orange juice
12,vodka,cranberry juice,brandy,rum
13,vodka,cranberry juice,blue curacao,pineapple juice
14,vodka,vanilla extract,cranberry juice,gin
15,vodka,powdered sugar,orange juice,rum
16,vodka,rum,grenadine,vanilla extract
17,vodka,tequila,powdered sugar,cherry
18,vodka,vanilla extract,campari,brandy
19,vodka,lemon/lime,vanilla extract,ginger
20,vodka,food coloring,gin,brandy
21,vodka,cranberry juice,orange peel,gin
22,vodka,gin,tequila,pineapple juice
23,vodka,orange juice,brandy,vanilla extract
24,vodka,cranberry juice,vanilla extract,orange juice
25,vodka,gin,cranberry juice,grenadine
26,vodka,gin,vanilla extract,peach schnapps
27,vodka,vanilla extract,rum,brandy
28,vodka,lemon/lime,peach schnapps,red wine
29,vodka,vanilla extract,brandy,orange juice
30,vodka,rum,vanilla extract,amaretto
31,vodka,tequila,grenadine,food coloring
32,vodka,brandy,rum,pineapple juice
33,vodka,cranberry juice,rum,gin
34,vodka,coca-cola,triple sec,red wine
35,vodka,tequila,red wine,gin
36,vodka,cloves,gin,rum
37,vodka,whiskey,food coloring,tequila
38,vodka,rum,coca-cola,lemon/lime
39,vodka,grenadine,peach schnapps,vanilla extract
40,vodka,orange juice,rum,cranberry juice
41,vodka,rum,cloves,tequila
42,vodka,rum,tomato juice,campari
43,vodka,cranberry juice,cloves,lemon/lime
44,vodka,lemon/lime,coca-cola,campari
45,vodka,orange juice,grenadine,ginger beer
46,vodka,gin,pineapple juice,peach schnapps
47,vodka,lemon/lime,gin,brandy
48,vodka,rum,cranberry juice,vanilla extract
49,vodka,powdered sugar,triple sec,grenadine
50,vodka,lemon/lime,pineapple juice,vermouth
51,vodka,orange juice,gin,triple sec
52,vodka,orange juice,brandy,pineapple juice
53,vodka,gin,cherry,brandy
54,vodka,powdered sugar,grenadine,pineapple juice
55,vodka,lemon/lime,brandy,creme de cassis
56,vodka,rum,gin,food coloring
57,vodka,red wine,cranberry juice,amaretto
58,vodka,vanilla extract,cherry,gin
59,vodka,orange juice,vermouth,triple sec
60,vodka,vanilla extract,gin,campari
61,vodka,bourbon,brandy,cranberry juice
62,vodka,gin,brandy,lemon/lime
63,vodka,gin,cranberry juice,rum
64,vodka,red wine,rum,grenadine
65,vodka,cloves,vanilla extract,orange juice
66,vodka,vanilla extract,rum,tequila
67,vodka,tequila,orange juice,powdered sugar
68,vodka,vanilla extract,grenadine,brandy
69,vodka,grenadine,powdered sugar,cranberry juice
70,vodka,orange juice,cherry,food coloring
71,vodka,cloves,powdered sugar,coca-cola
72,vodka,cranberry juice,red wine,triple sec
73,vodka,grenadine,cranberry juice,triple sec
74,vodka,brandy,vanilla extract,orange juice
75,vodka,triple sec,cloves,rum
76,vodka,rum,brandy,vanilla extract
77,vodka,lemon/lime,campari,vanilla extract
78,vodka,rum,brandy,vanilla extract
79,vodka,grenadine,lemon/lime,cranberry juice
80,vodka,red wine,gin,cloves
81,vodka,lemon/lime,orange juice,gin
82,vodka,red wine,cloves,cranberry juice
83,vodka,mint,food coloring,gin
84,vodka,cloves,rum,grenadine
85,vodka,vanilla extract,rum,amaretto
86,vodka,cherry,amaretto,pineapple juice
87,vodka,campari,grenadine,mint
88,vodka,sweet and sour,brandy,orange juice
89,vodka,orange juice,lemon/lime,vanilla extract
90,vodka,tequila,cognac,vanilla extract
91,vodka,grenadine,cloves,brandy
92,vodka,gin,food coloring,brandy
93,vodka,gin,rum,cranberry juice
94,vodka,gin,brandy,vanilla extract
95,vodka,brandy,lemon/lime,rum
96,vodka,peach schnapps,cranberry juice,vanilla extract
97,vodka,rum,gin,ginger beer
98,vodka,vanilla extract,red wine,orange juice
99,vodka,lemon/lime,cranberry juice,orange juice
100,vodka,rum,lemon/lime,peach schnapps
101,rum,gin,salt,lemon/lime
102,rum,vodka,tequila,lemon/lime
103,rum,lemon/lime,vodka,cherry
104,rum,light cream,lemon/lime,kahlua
105,rum,nutmeg,kahlua,tequila
106,rum,lemon/lime,tequila,red wine
107,rum,lemon/lime,kahlua,powdered sugar
108,rum,gin,tequila,cranberry juice
109,rum,lemon/lime,gin,grenadine
110,rum,grenadine,egg white,powdered sugar
111,rum,grenadine,powdered sugar,pineapple juice
112,rum,lemon/lime,gin,grenadine
113,rum,orange juice,lemon/lime,chocolate
114,rum,lemon/lime,brandy,orange juice
115,rum,brandy,gin,light cream
