,0
0,absolut kurant
1,hot damn
2,cranberry vodka
3,cream
4,chocolate ice-cream
5,cider
6,schweppes russchian
7,carbonated soft drink
8,kiwi
9,peachtree schnapps
10,chocolate
11,triple sec
12,mint
13,banana liqueur
14,ginger ale
15,chocolate sauce
16,butter
17,egg yolk
18,fresh lime juice
19,cherry juice
20,candy
21,cherry liqueur
22,absolut vodka
23,absinthe
24,erin cream
25,añejo rum
26,gold tequila
27,bailey
28,midori melon liqueur
29,light cream
30,ricard
31,curacao
32,thyme
33,marshmallows
34,sugar syrup
35,amaretto
36,whipping cream
37,bitter lemon
38,tennessee whiskey
39,jagermeister
40,orange
41,asafoetida
42,apfelkorn
43,whipped cream
44,water
45,jack daniels
46,basil
47,lager
48,jägermeister
49,falernum
50,dry vermouth
51,apricot
52,vanilla syrup
53,blended whiskey
54,fruit punch
55,food coloring
56,lime
57,kirschwasser
58,malibu rum
59,almond flavoring
60,maui
61,rosso vermouth
62,fresca
63,hot sauce
64,chocolate milk
65,pisang ambon
66,prosecco
67,firewater
68,drambuie
69,absolut citron
70,olive
71,raspberry vodka
72,peppermint extract
73,spiced rum
74,southern comfort
75,applejack
76,peach vodka
77,vanilla
78,coffee
79,151 proof rum
80,fruit
81,cream of coconut
82,lime vodka
83,maraschino cherry
84,ruby port
85,sprite
86,lemon vodka
87,blue curacao
88,rose
89,apple schnapps
90,salted chocolate
91,brandy
92,passoa
93,ginger beer
94,orange curacao
95,heavy cream
96,sherry
97,blackberries
98,lemon
99,grenadine
100,egg white
101,vodka
102,anise
103,berries
104,apple brandy
105,elderflower cordial
106,dubonnet rouge
107,limeade
108,wine
109,galliano
110,brown sugar
111,cherries
112,cherry heering
113,grand marnier
114,allspice
115,maple syrup
116,whiskey
117,powdered sugar
118,peach schnapps
119,dark creme de cacao
120,grape soda
121,vanilla ice-cream
122,mezcal
123,blackcurrant squash
124,maraschino liqueur
125,tequila
126,yoghurt
127,chocolate liqueur
128,figs
129,salt
130,chocolate syrup
131,blackcurrant cordial
132,carbonated water
133,frangelico
134,jello
135,corona
136,cherry grenadine
137,lemon juice
138,cranberry juice
139,peach nectar
140,johnnie walker
141,apple cider
142,port
143,apple
144,club soda
145,zima
146,goldschlager
147,caramel coloring
148,cayenne pepper
149,cherry brandy
150,green creme de menthe
151,aquavit
152,black sambuca
153,everclear
154,bacardi limon
155,oreo cookie
156,ginger syrup
157,lemon-lime soda
158,caramel sauce
159,creme de banane
160,tonic water
161,yellow chartreuse
162,black pepper
163,lime peel
164,kiwi liqueur
165,fennel seeds
166,fruit juice
167,cherry
168,raisins
169,soda water
170,tropicana
171,dark rum
172,creme de cassis
173,hpnotiq
174,pomegranate juice
175,orange spiral
176,creme de cacao
177,vermouth
178,strawberry schnapps
179,blackberry brandy
180,peach brandy
181,pineapple syrup
182,cachaca
183,gold rum
184,agave syrup
185,iced tea
186,orgeat syrup
187,pisco
188,pineapple juice
189,grapes
190,cognac
191,almond
192,ale
193,cloves
194,cornstarch
195,kahlua
196,baileys irish cream
197,mountain dew
198,beer
199,rosemary syrup
200,licorice root
201,cinnamon
202,champagne
203,corn syrup
204,passion fruit juice
205,coconut milk
206,godiva liqueur
207,banana
208,coffee brandy
209,egg
210,surge
211,angostura bitters
212,coriander
213,cointreau
214,cocoa powder
215,nutmeg
216,apple juice
217,lillet
218,irish cream
219,coffee liqueur
220,lemon peel
221,coconut syrup
222,islay single malt scotch
223,coconut rum
224,crown royal
225,grapefruit juice
226,worcestershire sauce
227,rosemary
228,watermelon
229,gin
230,orange juice
231,blended scotch
232,condensed milk
233,anis
234,aperol
235,scotch
236,blueberries
237,dr. pepper
238,passion fruit syrup
239,tea
240,mini-snickers bars
241,yukon jack
242,white wine
243,sugar
244,rye whiskey
245,sambuca
246,lime juice cordial
247,sloe gin
248,strawberries
249,honey syrup
250,blood orange
251,angelica root
252,absolut peppar
253,demerara sugar
254,sarsaparilla
255,orange peel
256,jim beam
257,glycerine
258,pink lemonade
259,mint syrup
260,fresh lemon juice
261,butterscotch schnapps
262,lillet blanc
263,root beer
264,marjoram leaves
265,peychaud bitters
266,white creme de menthe
267,milk
268,7-up
269,coconut liqueur
270,peppermint schnapps
271,rum
272,celery salt
273,olive brine
274,grape juice
275,chambord raspberry liqueur
276,irish whiskey
277,red chili flakes
278,daiquiri mix
279,grain alcohol
280,whisky
281,ginger
282,sherbet
283,hot chocolate
284,red wine
285,tabasco sauce
286,advocaat
287,guinness stout
288,half-and-half
289,campari
290,orange bitters
291,cardamom
292,pineapple
293,kool-aid
294,bitters
295,sour mix
296,cumin seed
297,ouzo
298,lime juice
299,melon liqueur
300,green chartreuse
301,wormwood
302,soy sauce
303,pernod
304,sweet vermouth
305,sweet and sour
306,guava juice
307,blackstrap rum
308,light rum
309,coca-cola
310,apricot brandy
311,raspberry syrup
312,wild turkey
313,benedictine
314,papaya
315,tia maria
316,raspberry liqueur
317,lemonade
318,carrot
319,cucumber
320,vanilla extract
321,cantaloupe
322,honey
323,apricot nectar
324,white rum
325,kummel
326,st. germain
327,espresso
328,mango
329,strawberry liqueur
330,sirup of roses
331,amaro montenegro
332,pepper
333,anisette
334,tomato juice
335,pina colada mix
336,bourbon
337,peach bitters
338,lavender
339,pepsi cola
340,ice
341,creme de mure
342,cranberries
