,0
0,peychaud bitters
1,strawberry schnapps
2,brandy
3,hot damn
4,pineapple syrup
5,white creme de menthe
6,milk
7,cachaca
8,passoa
9,ginger beer
10,cream
11,agave syrup
12,chocolate ice-cream
13,cider
14,7-up
15,iced tea
16,schweppes russchian
17,coconut liqueur
18,carbonated soft drink
19,kiwi
20,orange curacao
21,peachtree schnapps
22,heavy cream
23,chocolate
24,triple sec
25,sherry
26,mint
27,peppermint schnapps
28,rum
29,pineapple juice
30,banana liqueur
31,ginger ale
32,cognac
33,pisco
34,grapes
35,grenadine
36,chocolate sauce
37,blackberries
38,blended scotch
39,vodka
40,egg white
41,anise
42,butter
43,berries
44,celery salt
45,egg yolk
46,almond
47,fresh lime juice
48,cherry juice
49,candy
50,olive brine
51,elderflower cordial
52,grape juice
53,ale
54,dubonnet rouge
55,limeade
56,cloves
57,cherry liqueur
58,wine
59,chambord raspberry liqueur
60,cornstarch
61,red chili flakes
62,kahlua
63,galliano
64,erin cream
65,brown sugar
66,añejo rum
67,baileys irish cream
68,mountain dew
69,beer
70,cherries
71,rosemary syrup
72,bailey
73,midori melon liqueur
74,cherry heering
75,light cream
76,daiquiri mix
77,ricard
78,grand marnier
79,licorice root
80,curacao
81,allspice
82,cinnamon
83,thyme
84,marshmallows
85,whiskey
86,maple syrup
87,powdered sugar
88,peach schnapps
89,sugar syrup
90,grain alcohol
91,champagne
92,fresca
93,dark creme de cacao
94,amaretto
95,grape soda
96,vanilla ice-cream
97,bitter lemon
98,ginger
99,whipping cream
100,creme de mure
101,jagermeister
102,sherbet
103,hot chocolate
104,red wine
105,corn syrup
106,orange
107,passion fruit juice
108,coconut milk
109,asafoetida
110,godiva liqueur
111,banana
112,tabasco sauce
113,advocaat
114,guinness stout
115,half-and-half
116,campari
117,orange bitters
118,mezcal
119,apfelkorn
120,pineapple
121,cardamom
122,blackcurrant squash
123,kool-aid
124,whipped cream
125,maraschino liqueur
126,bitters
127,sour mix
128,cumin seed
129,tequila
130,water
131,yoghurt
132,chocolate liqueur
133,figs
134,egg
135,basil
136,ouzo
137,melon liqueur
138,lager
139,salt
140,jägermeister
141,falernum
142,surge
143,apricot
144,green chartreuse
145,vanilla syrup
146,angostura bitters
147,wormwood
148,fruit punch
149,coriander
150,cointreau
151,soy sauce
152,pernod
153,rose
154,chocolate syrup
155,cocoa powder
156,blackcurrant cordial
157,carbonated water
158,nutmeg
159,frangelico
160,sweet and sour
161,food coloring
162,apple juice
163,kirschwasser
164,lillet
165,irish cream
166,coffee liqueur
167,jello
168,guava juice
169,lemon peel
170,corona
171,almond flavoring
172,cherry grenadine
173,maui
174,coconut syrup
175,islay single malt scotch
176,crown royal
177,grapefruit juice
178,worcestershire sauce
179,coca-cola
180,lemon juice
181,hot sauce
182,chocolate milk
183,rosemary
184,gin
185,cranberry juice
186,peach nectar
187,raspberry syrup
188,watermelon
189,orange juice
190,wild turkey
191,pisang ambon
192,johnnie walker
193,apple cider
194,prosecco
195,port
196,firewater
197,drambuie
198,apple
199,benedictine
200,club soda
201,lemon/lime
202,olive
203,goldschlager
204,condensed milk
205,peppermint extract
206,papaya
207,anis
208,orgeat syrup
209,zima
210,southern comfort
211,aperol
212,scotch
213,caramel coloring
214,applejack
215,cayenne pepper
216,tia maria
217,green creme de menthe
218,vanilla
219,raspberry liqueur
220,blueberries
221,aquavit
222,black sambuca
223,coffee
224,dr. pepper
225,lemonade
226,everclear
227,carrot
228,cucumber
229,passion fruit syrup
230,vanilla extract
231,cantaloupe
232,tea
233,bacardi limon
234,mini-snickers bars
235,honey
236,oreo cookie
237,ginger syrup
238,caramel sauce
239,creme de banane
240,white wine
241,sugar
242,apricot nectar
243,yukon jack
244,tonic water
245,yellow chartreuse
246,fruit
247,black pepper
248,kummel
249,sambuca
250,st. germain
251,lime peel
252,lime juice cordial
253,sloe gin
254,strawberries
255,salted chocolate
256,espresso
257,mango
258,honey syrup
259,kiwi liqueur
260,cream of coconut
261,blood orange
262,angelica root
263,fennel seeds
264,fruit juice
265,cherry
266,demerara sugar
267,strawberry liqueur
268,soda water
269,raisins
270,sarsaparilla
271,orange peel
272,sirup of roses
273,tropicana
274,amaro montenegro
275,maraschino cherry
276,creme de cassis
277,hpnotiq
278,pomegranate juice
279,sprite
280,ruby port
281,glycerine
282,blue curacao
283,pepper
284,pink lemonade
285,anisette
286,orange spiral
287,tomato juice
288,mint syrup
289,pina colada mix
290,bourbon
291,fresh lemon juice
292,peach bitters
293,apple schnapps
294,ice
295,butterscotch schnapps
296,lillet blanc
297,lavender
298,root beer
299,creme de cacao
300,pepsi cola
301,marjoram leaves
302,vermouth
303,cranberries
