,index,variable,value
0,gin,tequila,0.24618298195866545
1,orange juice,tequila,0.6123724356957945
2,grenadine,tequila,0.8703882797784892
3,lemon/lime,tequila,0.5247361959576216
4,salt,tequila,0.6831300510639733
5,grapefruit juice,tequila,0.9999999999999999
6,triple sec,tequila,0.3149183286488868
7,ice,tequila,0.9607689228305226
8,cocoa powder,milk,0.49999999999999994
9,nutmeg,milk,0.3020792700095994
10,chocolate,milk,0.3611575592573076
11,rum,milk,0.5888015039841447
12,kahlua,milk,0.944911182523068
13,sugar,milk,0.623903005188754
14,cinnamon,milk,0.9925232596048371
15,chocolate syrup,milk,0.2773500981126146
16,vermouth,maraschino liqueur,0.3333333333333333
17,orange bitters,maraschino liqueur,0.7071067811865475
18,gin,water,0.917662935482247
19,vodka,water,0.6741861961113021
20,cloves,water,0.5
21,sugar,water,0.3602232346689459
22,food coloring,water,0.8660254037844386
23,milk,cocoa powder,0.49999999999999994
24,tequila,gin,0.24618298195866545
25,water,gin,0.917662935482247
26,lemon peel,gin,0.38665772366627527
27,orange peel,gin,0.3779644730092272
28,lemon/lime,gin,0.29796881542704345
29,blue curacao,gin,0.8660254037844385
30,powdered sugar,gin,0.86991767240168
31,sugar,gin,0.46101535189253157
32,triple sec,gin,0.48663925173797884
33,coca-cola,gin,0.6546536707079772
34,benedictine,gin,0.5
35,cherry,gin,0.6153846153846154
36,orange juice,amaretto,0.7276068751089989
37,rum,amaretto,0.40451991747794525
38,light cream,amaretto,0.6666666666666667
39,gin,lemon peel,0.38665772366627527
40,rum,lemon peel,0.5773502691896257
41,scotch,lemon peel,0.5773502691896258
42,lemon/lime,lemon peel,0.7071067811865475
43,powdered sugar,lemon peel,0.9486832980505138
44,sugar,lemon peel,0.4225771273642583
45,vermouth,lemon peel,0.46562238031506015
46,bourbon,lemon peel,0.870571500132014
47,lemon/lime,angostura bitters,0.8283721253590283
48,tequila,orange juice,0.6123724356957945
49,amaretto,orange juice,0.7276068751089989
50,red wine,orange juice,0.9684959969581862
51,vodka,orange juice,0.21234616886747062
52,grenadine,orange juice,0.5561050666251612
53,rum,orange juice,0.520475740526292
54,cranberry juice,orange juice,0.2988071523335984
55,lemon/lime,orange juice,0.677702829561266
56,sugar,orange juice,0.22941573387056174
57,pineapple juice,orange juice,0.4743589743589742
58,brandy,orange juice,0.7789711910621947
59,ice,orange juice,0.4700633956814718
60,campari,orange juice,0.8660254037844387
61,orange juice,red wine,0.9684959969581862
62,brandy,red wine,0.5960395606792697
63,vodka,chambord raspberry liqueur,0.3273268353539886
